project,method,precision_p_value,precision_cliff_delta,precision_effect_size,precision_method,precision_noisy,precision_percent,recall_p_value,recall_cliff_delta,recall_effect_size,recall_method,recall_noisy,recall_percent,f1_p_value,f1_cliff_delta,f1_effect_size,f1_method,f1_noisy,f1_percent,AUC_p_value,AUC_cliff_delta,AUC_effect_size,AUC_method,AUC_noisy,AUC_percent,MCC_p_value,MCC_cliff_delta,MCC_effect_size,MCC_method,MCC_noisy,MCC_percent,G-Mean_p_value,G-Mean_cliff_delta,G-Mean_effect_size,G-Mean_method,G-Mean_noisy,G-Mean_percent
httpclient,LRT,0.5393962122411371,0.04875,negligible,0.47,0.46,1.01,0.08349514527988734,0.280625,small,0.84,0.79,1.05,0.08781707203410997,0.21125,small,0.6,0.59,1.02,0.3841291027998428,0.076875,negligible,0.62,0.62,1.01,0.031024676173487673,0.25375,small,0.26,0.24,1.12,0.27709091584206047,0.004375,negligible,0.56,0.59,0.96
jackrabbit,LRT,0.7163436396580674,-0.059375,negligible,0.59,0.59,1.0,0.00016720455097079867,0.495625,large,0.82,0.78,1.05,0.001972412019467574,0.43375,medium,0.68,0.67,1.02,0.04497943669662699,0.266875,small,0.71,0.71,1.01,0.00657051390700133,0.376875,medium,0.43,0.41,1.05,0.8930572488757916,0.06625,negligible,0.7,0.7,1.0
lucene,LRT,0.21849418133848952,-0.193125,small,0.5,0.51,0.99,0.007504494274647189,0.40625,medium,0.7,0.65,1.08,0.1347761948229974,0.21,small,0.58,0.57,1.01,0.2134293059094733,0.183125,small,0.69,0.69,1.01,0.26685764420769786,0.163125,small,0.36,0.35,1.03,0.7230498927037564,0.08125,negligible,0.69,0.69,1.0
all,LRT,0.11832824015120263,0.1625,small,0.58,0.57,1.01,0.02303537936517461,0.32125,small,0.8,0.79,1.02,0.015450251197528322,0.344375,medium,0.67,0.66,1.02,0.018158291212301284,0.3425,medium,0.74,0.73,1.01,0.008369641803983053,0.375,medium,0.47,0.45,1.04,0.06195371723888594,0.24,small,0.74,0.73,1.01
httpclient,PLC,0.47009826710306357,-0.07125,negligible,0.46,0.46,0.99,7.690452513995102e-08,0.928125,large,0.89,0.79,1.12,0.00045960951065248534,0.470625,medium,0.61,0.59,1.03,0.139455912728553,0.20875,small,0.62,0.62,1.01,0.0029468829519344085,0.409375,medium,0.27,0.24,1.16,0.010745999380900232,-0.35375,medium,0.56,0.59,0.96
jackrabbit,PLC,0.0002499577693486559,0.453125,medium,0.6,0.59,1.02,1.171177058932035e-05,0.596875,large,0.81,0.78,1.04,6.31191897495773e-06,0.64875,large,0.69,0.67,1.03,5.026466576461218e-06,0.636875,large,0.72,0.71,1.03,6.0165579443076915e-06,0.666875,large,0.44,0.41,1.08,1.2826641856428749e-05,0.58375,large,0.72,0.7,1.02
lucene,PLC,0.16775266606809924,-0.16375,small,0.5,0.51,0.98,0.007364125353737511,0.343125,medium,0.68,0.65,1.03,0.4937540339786396,0.093125,negligible,0.57,0.57,1.01,0.5154783102003953,0.09625,negligible,0.69,0.69,1.0,0.7959641242104312,0.014375,negligible,0.35,0.35,1.0,0.5303362918250333,0.099375,negligible,0.69,0.69,1.0
all,PLC,0.0022936214617960754,0.3775,medium,0.59,0.57,1.02,1.0817147728466348e-05,0.71125,large,0.82,0.79,1.04,5.083421148557857e-06,0.71875,large,0.68,0.66,1.03,9.158533443488993e-06,0.718125,large,0.75,0.73,1.03,1.906063819779045e-06,0.739375,large,0.48,0.45,1.07,2.261169697949759e-05,0.62875,large,0.75,0.73,1.02
httpclient,APL,3.304529806630881e-08,-1.0,large,0.38,0.46,0.82,3.448786465256816e-08,1.0,large,1.0,0.79,1.26,1.9843050111464914e-07,-0.85,large,0.55,0.59,0.94,3.363982271366056e-08,-1.0,large,0.5,0.62,0.81,3.486935891658717e-08,-1.0,large,0.0,0.24,0.0,3.446337792650505e-08,-1.0,large,0.0,0.59,0.0
jackrabbit,APL,0.004864861753279145,-0.37375,medium,0.54,0.59,0.91,0.5617915195642563,0.010625,negligible,0.71,0.78,0.9,1.277262735801397e-07,-0.839375,large,0.55,0.67,0.82,6.980019116519024e-08,-0.855625,large,0.61,0.71,0.86,5.5840485373298155e-08,-0.8525,large,0.23,0.41,0.57,6.242530887244843e-08,-0.8525,large,0.48,0.7,0.68
lucene,APL,1.8532489921575132e-05,-0.680625,large,0.3,0.51,0.6,1.466357350035472e-07,-0.799375,large,0.22,0.65,0.34,3.554271352232285e-08,-0.976875,large,0.2,0.57,0.36,3.51672380413779e-08,-0.9825,large,0.54,0.69,0.79,3.556786934502578e-08,-0.98125,large,0.09,0.35,0.26,3.558045309144898e-08,-0.981875,large,0.27,0.69,0.4
all,APL,0.2942448629647233,-0.191875,small,0.57,0.57,0.99,7.816840849486021e-06,-0.584375,large,0.44,0.79,0.56,1.2248511253638376e-07,-0.799375,large,0.39,0.66,0.59,1.6306657924253787e-07,-0.799375,large,0.6,0.73,0.81,1.4155488516296269e-07,-0.81125,large,0.22,0.45,0.49,1.5763684988007605e-07,-0.79875,large,0.44,0.73,0.6
httpclient,JoCoR,0.017712444005926576,-0.241875,small,0.45,0.46,0.98,1.2220533430637208e-07,0.83625,large,0.91,0.79,1.15,0.0005249706912222228,0.455625,medium,0.6,0.59,1.03,0.7162580694210432,0.09,negligible,0.62,0.62,1.0,0.002416585298061061,0.40625,medium,0.27,0.24,1.16,0.00027284285580913886,-0.490625,large,0.54,0.59,0.92
jackrabbit,JoCoR,0.00017009400124724984,0.51875,large,0.61,0.59,1.03,0.17113883748082404,-0.190625,small,0.77,0.78,0.98,0.36334519426422285,0.16125,small,0.68,0.67,1.01,0.02124341437621744,0.313125,small,0.71,0.71,1.01,0.008477646305619977,0.350625,medium,0.42,0.41,1.04,0.006022264881326215,0.36,medium,0.71,0.7,1.01
lucene,JoCoR,0.28765994668574224,-0.086875,negligible,0.5,0.51,0.99,9.801983814762315e-08,-0.9575,large,0.52,0.65,0.8,2.322614071217268e-07,-0.8675,large,0.51,0.57,0.89,3.4205635831189437e-07,-0.7975,large,0.65,0.69,0.94,5.444728483089337e-07,-0.73125,large,0.29,0.35,0.82,2.3880576978453315e-07,-0.861875,large,0.63,0.69,0.92
all,JoCoR,0.0054778427762829165,0.411875,medium,0.58,0.57,1.02,0.003410246969196425,-0.3,small,0.71,0.79,0.9,0.5071110178465348,0.010625,negligible,0.63,0.66,0.95,0.6919330845085582,0.0375,negligible,0.72,0.73,0.98,0.9458345450800436,0.098125,negligible,0.43,0.45,0.97,0.666126313131083,0.014375,negligible,0.7,0.73,0.96
httpclient,PDN,0.0047299175746663286,-0.3825,medium,0.43,0.46,0.93,0.004401433246885419,0.414375,medium,0.86,0.79,1.08,0.000851832432823004,-0.419375,medium,0.56,0.59,0.96,4.592047969902187e-05,-0.466875,medium,0.56,0.62,0.91,7.156597618014191e-05,-0.43375,medium,0.13,0.24,0.57,1.849625471052087e-05,-0.493125,large,0.33,0.59,0.56
jackrabbit,PDN,0.36363084676962387,0.100625,negligible,0.6,0.59,1.02,0.2855501237995367,-0.0775,negligible,0.74,0.78,0.95,0.12418505741318542,-0.135625,negligible,0.65,0.67,0.96,0.16180855124161952,-0.094375,negligible,0.7,0.71,0.99,0.2577850384856968,-0.08875,negligible,0.4,0.41,0.97,0.1250368118079787,-0.161875,small,0.68,0.7,0.97
lucene,PDN,0.15139942873715917,-0.131875,negligible,0.49,0.51,0.96,0.0016964638132884104,-0.500625,large,0.52,0.65,0.79,9.31150050140149e-08,-0.805,large,0.45,0.57,0.79,1.2151723341474043e-07,-0.79,large,0.61,0.69,0.89,3.16642391770763e-07,-0.7575,large,0.24,0.35,0.67,8.333116557596275e-08,-0.824375,large,0.54,0.69,0.79
all,PDN,0.14322499571194242,0.186875,small,0.58,0.57,1.01,0.06938756887233426,-0.2,small,0.76,0.79,0.96,0.033395684381611036,-0.2225,small,0.65,0.66,0.98,0.05208434195278385,-0.20875,small,0.72,0.73,0.98,0.3013379792847085,-0.13,negligible,0.43,0.45,0.96,0.017711461047048637,-0.255625,small,0.71,0.73,0.97
httpclient,SEAL,3.5150749370681137e-07,0.8175,large,0.5,0.46,1.08,5.202744189138962e-08,0.9925,large,0.91,0.79,1.14,3.3699786472846556e-08,0.99875,large,0.64,0.59,1.1,3.408577278201985e-08,0.98125,large,0.68,0.62,1.1,3.529200939163127e-08,0.99875,large,0.37,0.24,1.56,1.3862306956134326e-07,0.81375,large,0.63,0.59,1.08
jackrabbit,SEAL,3.799064389745908e-05,0.57625,large,0.61,0.59,1.02,0.1960632806489152,0.18875,small,0.79,0.78,1.01,9.766244137395037e-05,0.52,large,0.69,0.67,1.02,5.167701904448365e-06,0.65,large,0.72,0.71,1.02,5.943159718740625e-06,0.66625,large,0.44,0.41,1.07,5.9696323417355624e-06,0.6475,large,0.72,0.7,1.02
lucene,SEAL,0.5518784060680426,-0.0275,negligible,0.51,0.51,1.0,0.0006096480958145937,-0.38625,medium,0.62,0.65,0.94,0.006973393408465802,-0.34125,medium,0.55,0.57,0.97,0.03151253832528445,-0.26125,small,0.68,0.69,0.99,0.01690454706181002,-0.3075,small,0.34,0.35,0.95,0.013867778537456932,-0.3125,small,0.67,0.69,0.98
all,SEAL,4.46566593842037e-07,0.80875,large,0.6,0.57,1.04,7.3323465552223365e-06,0.69125,large,0.82,0.79,1.04,3.2634618455276184e-08,0.94875,large,0.69,0.66,1.04,2.893467031550976e-08,0.965,large,0.76,0.73,1.04,3.332951288570438e-08,0.9925,large,0.5,0.45,1.11,4.325409507626163e-08,0.9375,large,0.76,0.73,1.04
httpclient,GCE,0.01652499005239702,0.330625,medium,0.48,0.46,1.03,1.5003859412661868e-05,0.588125,large,0.85,0.79,1.08,7.184191496480671e-05,0.526875,large,0.61,0.59,1.04,0.0009318314883889681,0.43375,medium,0.64,0.62,1.04,9.110343221126961e-05,0.51875,large,0.29,0.24,1.25,0.0895004035297867,0.240625,small,0.6,0.59,1.03
jackrabbit,GCE,0.0010930309390853954,0.436875,medium,0.6,0.59,1.02,0.6880198822571371,0.079375,negligible,0.79,0.78,1.01,0.012902370929442887,0.36,medium,0.68,0.67,1.02,0.0024495528376510347,0.388125,medium,0.72,0.71,1.02,0.007130564573275736,0.380625,medium,0.43,0.41,1.05,0.001463583741291618,0.414375,medium,0.71,0.7,1.02
lucene,GCE,0.0011837335628902188,0.305,small,0.52,0.51,1.03,0.27883874564077193,-0.018125,negligible,0.64,0.65,0.99,0.3881890451051496,0.13375,negligible,0.58,0.57,1.01,0.11654466826354697,0.18875,small,0.69,0.69,1.01,0.06924115080768532,0.200625,small,0.37,0.35,1.04,0.40380062745200496,0.144375,negligible,0.69,0.69,1.01
all,GCE,0.002711173501396507,0.4075,medium,0.59,0.57,1.02,0.12068147147881875,-0.221875,small,0.77,0.79,0.98,0.30080240264951963,0.17625,small,0.67,0.66,1.0,0.32579454661998264,0.168125,small,0.74,0.73,1.0,0.1480649002589657,0.210625,small,0.46,0.45,1.02,0.22918882373793192,0.200625,small,0.74,0.73,1.01
httpclient,REL,3.670297321458948e-08,-0.99,large,0.4,0.46,0.87,3.546733934213521e-08,0.996875,large,0.93,0.79,1.18,1.8354917858411418e-05,-0.57625,large,0.56,0.59,0.96,4.6336680150792244e-08,-0.97,large,0.54,0.62,0.88,1.4790854598102805e-07,-0.88125,large,0.12,0.24,0.5,3.553014144400866e-08,-1.0,large,0.36,0.59,0.61
jackrabbit,REL,0.022029517180156024,0.276875,small,0.6,0.59,1.01,0.23986918866896445,0.131875,negligible,0.79,0.78,1.01,0.017019519828149407,0.3075,small,0.68,0.67,1.01,0.004827774083337194,0.33375,medium,0.72,0.71,1.01,0.0030663551627997127,0.334375,medium,0.42,0.41,1.04,0.0020820242879997356,0.344375,medium,0.71,0.7,1.01
lucene,REL,0.33463176929113214,-0.103125,negligible,0.5,0.51,0.99,0.013305237105178806,0.305,small,0.67,0.65,1.03,0.5114106639757153,0.12375,negligible,0.57,0.57,1.01,0.4591487522789558,0.1325,negligible,0.69,0.69,1.01,0.8862475335895966,0.05625,negligible,0.36,0.35,1.01,0.5156283438818021,0.13625,negligible,0.69,0.69,1.01
all,REL,0.0005134140495812037,0.423125,medium,0.59,0.57,1.02,7.744926714207847e-05,0.548125,large,0.81,0.79,1.03,2.37045005382196e-06,0.629375,large,0.68,0.66,1.03,2.9463092326682252e-06,0.618125,large,0.75,0.73,1.02,9.419777915574947e-07,0.664375,large,0.48,0.45,1.07,3.3764077590059376e-06,0.61,large,0.75,0.73,1.02
httpclient,SAT,3.3520175064848715e-08,-1.0,large,0.38,0.46,0.83,3.469661676157125e-08,1.0,large,0.98,0.79,1.24,6.895396827673563e-07,-0.794375,large,0.55,0.59,0.94,3.423151113345613e-08,-1.0,large,0.51,0.62,0.83,3.546733934213521e-08,-0.983125,large,0.06,0.24,0.25,3.554271352232285e-08,-1.0,large,0.18,0.59,0.31
jackrabbit,SAT,1.4542728947461076e-06,0.685625,large,0.61,0.59,1.03,4.054079722834212e-07,-0.778125,large,0.74,0.78,0.94,0.0709096426284756,-0.21125,small,0.67,0.67,0.99,0.7016176770480902,0.0575,negligible,0.71,0.71,1.0,0.6073805326973396,0.045,negligible,0.41,0.41,1.01,0.08440340542071614,0.189375,small,0.71,0.7,1.01
lucene,SAT,0.29175044317584786,-0.11,negligible,0.5,0.51,0.99,3.53295161776705e-08,-1.0,large,0.42,0.65,0.64,3.529200939163127e-08,-0.99875,large,0.46,0.57,0.8,3.415857399402544e-08,-0.985625,large,0.62,0.69,0.9,7.625226962214092e-08,-0.94875,large,0.25,0.35,0.71,3.4906472758996035e-08,-0.998125,large,0.59,0.69,0.85
all,SAT,5.757695644311411e-05,0.505,large,0.59,0.57,1.03,4.5490569453385694e-06,-0.666875,large,0.75,0.79,0.96,0.8773309342396722,-0.038125,negligible,0.66,0.66,1.0,0.7365667574949315,-0.01,negligible,0.74,0.73,1.0,0.6102938298162344,-0.013125,negligible,0.45,0.45,1.0,0.40220553496218414,0.0325,negligible,0.73,0.73,1.0
httpclient,COTEACHING_PLUS,1.3760825829058422e-06,-0.6775,large,0.43,0.46,0.92,0.23856384340209802,0.30625,small,0.8,0.79,1.02,0.00020670858690759487,-0.57375,large,0.55,0.59,0.94,3.301717088644013e-06,-0.74,large,0.57,0.62,0.92,7.41327970969161e-06,-0.71,large,0.16,0.24,0.67,1.7523337386317686e-06,-0.65875,large,0.49,0.59,0.83
jackrabbit,COTEACHING_PLUS,0.7066379701564474,-0.0825,negligible,0.59,0.59,0.99,0.02758626100632794,-0.245,small,0.7,0.78,0.9,0.007493370155202646,-0.29625,small,0.63,0.67,0.93,0.007451924000768741,-0.32125,small,0.68,0.71,0.97,0.00550755529192877,-0.33625,medium,0.37,0.41,0.9,0.005537363271231305,-0.3175,small,0.67,0.7,0.95
lucene,COTEACHING_PLUS,0.0009299064798981785,-0.47625,large,0.48,0.51,0.95,0.0027478421465869014,-0.41875,medium,0.59,0.65,0.9,0.00010119608894983014,-0.54375,large,0.52,0.57,0.91,8.985608983016311e-05,-0.54875,large,0.65,0.69,0.95,6.990934051211556e-05,-0.5375,large,0.3,0.35,0.84,7.097033102290236e-05,-0.545,large,0.64,0.69,0.94
all,COTEACHING_PLUS,0.07354951776894877,-0.30125,small,0.54,0.57,0.93,0.31149279969361165,-0.075,negligible,0.73,0.79,0.93,0.005274441290410345,-0.30875,small,0.61,0.66,0.93,0.0051919366911400795,-0.3025,small,0.71,0.73,0.97,0.008599963870405571,-0.2925,small,0.41,0.45,0.9,0.0017112030753849347,-0.3775,medium,0.68,0.73,0.93
httpclient,CORES,0.001916179840317196,0.43,medium,0.49,0.46,1.05,0.1968892658390241,0.1825,small,0.8,0.79,1.01,0.01941945967772449,0.37375,medium,0.6,0.59,1.03,0.0033692377763306597,0.42125,medium,0.64,0.62,1.04,0.0005809193921380797,0.4875,large,0.29,0.24,1.23,0.06738694483731517,0.26625,small,0.61,0.59,1.04
jackrabbit,CORES,5.4520980124280435e-05,-0.4775,large,0.58,0.59,0.98,0.921291958034818,0.035,negligible,0.79,0.78,1.01,0.01819438670466791,-0.28375,small,0.67,0.67,0.99,0.00012598530161219418,-0.42625,medium,0.7,0.71,0.99,0.0003522337652431562,-0.44375,medium,0.39,0.41,0.95,0.00011688325596625976,-0.46125,medium,0.69,0.7,0.98
lucene,CORES,0.35309344063970105,-0.10375,negligible,0.5,0.51,1.0,0.0012360962283483668,0.5025,large,0.68,0.65,1.04,0.11716500100744036,0.215,small,0.58,0.57,1.01,0.09240026920386549,0.205,small,0.69,0.69,1.01,0.25711194891849964,0.12125,negligible,0.36,0.35,1.02,0.14908991682757916,0.19625,small,0.69,0.69,1.01
all,CORES,0.14371679555358782,0.21375,small,0.59,0.57,1.02,0.9398321456217035,0.2025,small,0.77,0.79,0.98,0.07819551762376305,0.24125,small,0.66,0.66,0.99,0.03811156197776156,0.25875,small,0.74,0.73,1.0,0.01000484448308502,0.325,small,0.46,0.45,1.01,0.13365700338955647,0.2375,small,0.73,0.73,1.0
httpclient,COTEACHING,0.0002332293340495912,-0.618125,large,0.44,0.46,0.94,0.0002760294252654072,0.58625,large,0.86,0.79,1.09,0.04088142668718442,-0.2725,small,0.57,0.59,0.98,8.220168368671658e-05,-0.576875,large,0.58,0.62,0.94,0.003758350950244821,-0.404375,medium,0.19,0.24,0.82,3.328272169487474e-06,-0.7,large,0.48,0.59,0.82
jackrabbit,COTEACHING,2.3321230694719094e-06,0.719375,large,0.61,0.59,1.04,0.14115220833181477,0.22625,small,0.79,0.78,1.01,7.222739057127622e-05,0.62125,large,0.69,0.67,1.03,8.79995838796226e-06,0.681875,large,0.73,0.71,1.03,2.8020008262304745e-06,0.72875,large,0.45,0.41,1.1,2.9325519124205097e-06,0.71125,large,0.72,0.7,1.03
lucene,COTEACHING,0.2688810257744577,-0.15,small,0.5,0.51,0.99,0.0005761904001650865,-0.513125,large,0.61,0.65,0.94,0.003038980307984477,-0.4175,medium,0.55,0.57,0.97,0.006174774308422386,-0.385625,medium,0.67,0.69,0.98,0.008615399405197774,-0.388125,medium,0.33,0.35,0.93,0.0025088457912263566,-0.438125,medium,0.67,0.69,0.97
all,COTEACHING,0.00272118112745784,0.405,medium,0.59,0.57,1.03,0.06694198161016868,0.306875,small,0.8,0.79,1.02,0.00010627998874030609,0.549375,large,0.68,0.66,1.02,2.3297558436970386e-05,0.559375,large,0.75,0.73,1.02,2.908728774945469e-06,0.600625,large,0.48,0.45,1.06,4.9284863542305836e-05,0.506875,large,0.75,0.73,1.02
